cloud,log_sigma_gas,log_sigma_sfr
Ophiuchus,2.0858,0.4874
Ophiuchus,2.0877,0.4798
Ophiuchus,2.0895,0.4874
Ophiuchus,2.0914,0.4924
Ophiuchus,2.0933,0.4975
Ophiuchus,2.0952,0.4949
Ophiuchus,2.0971,0.5025
Ophiuchus,2.0989,0.5076
Ophiuchus,2.1008,0.5152
Ophiuchus,2.1027,0.5177
Ophiuchus,2.1046,0.5253
Ophiuchus,2.1065,0.5202
Ophiuchus,2.1083,0.5278
Ophiuchus,2.1102,0.5328
Ophiuchus,2.1121,0.5354
Ophiuchus,2.114,0.5354
Ophiuchus,2.1159,0.5429
Ophiuchus,2.1177,0.548
Ophiuchus,2.1196,0.553
Ophiuchus,2.1215,0.5556
Ophiuchus,2.1234,0.5657
Ophiuchus,2.1253,0.5631
Ophiuchus,2.1271,0.5682
Ophiuchus,2.129,0.5758
Ophiuchus,2.1309,0.5758
Ophiuchus,2.1328,0.5783
Ophiuchus,2.1347,0.5833
Ophiuchus,2.1365,0.5884
Ophiuchus,2.1384,0.5934
Ophiuchus,2.1403,0.5934
Ophiuchus,2.1422,0.596
Ophiuchus,2.1441,0.6035
Ophiuchus,2.1459,0.6086
Ophiuchus,2.1478,0.6111
Ophiuchus,2.1497,0.6162
Ophiuchus,2.1516,0.6187
Ophiuchus,2.1535,0.6237
Ophiuchus,2.1553,0.6212
Ophiuchus,2.1572,0.6313
Ophiuchus,2.1591,0.6364
Ophiuchus,2.161,0.6389
Ophiuchus,2.1629,0.6439
Ophiuchus,2.1647,0.6515
Ophiuchus,2.1666,0.6465
Ophiuchus,2.1685,0.654
Ophiuchus,2.1704,0.6566
Ophiuchus,2.1723,0.6641
Ophiuchus,2.1741,0.6667
Ophiuchus,2.176,0.6692
Ophiuchus,2.1779,0.6768
Ophiuchus,2.1798,0.6717
Ophiuchus,2.1817,0.6869
Ophiuchus,2.1835,0.6843
Ophiuchus,2.1854,0.6919
Ophiuchus,2.1873,0.6869
Ophiuchus,2.1892,0.6944
Ophiuchus,2.1911,0.697
Ophiuchus,2.1929,0.6995
Ophiuchus,2.1948,0.697
Ophiuchus,2.1967,0.7071
Ophiuchus,2.1986,0.7172
Ophiuchus,2.2005,0.7146
Ophiuchus,2.2024,0.7222
Ophiuchus,2.2042,0.7172
Ophiuchus,2.2061,0.7247
Ophiuchus,2.208,0.7273
Ophiuchus,2.2099,0.7298
Ophiuchus,2.2118,0.7273
Ophiuchus,2.2136,0.7323
Ophiuchus,2.2155,0.7475
Ophiuchus,2.2174,0.7449
Ophiuchus,2.2193,0.7525
Ophiuchus,2.2212,0.7475
Ophiuchus,2.223,0.7551
Ophiuchus,2.2249,0.7576
Ophiuchus,2.2268,0.7601
Ophiuchus,2.2287,0.7652
Ophiuchus,2.2306,0.7727
Ophiuchus,2.2324,0.7727
Ophiuchus,2.2343,0.7753
Ophiuchus,2.2362,0.7727
Ophiuchus,2.2381,0.7879
Ophiuchus,2.24,0.7879
Ophiuchus,2.2418,0.7904
Ophiuchus,2.2437,0.7879
Ophiuchus,2.2456,0.798
Ophiuchus,2.2475,0.8081
Ophiuchus,2.2494,0.8056
Ophiuchus,2.2512,0.8081
Ophiuchus,2.2531,0.8081
Ophiuchus,2.255,0.8157
Ophiuchus,2.2569,0.8207
Ophiuchus,2.2588,0.8283
Ophiuchus,2.2606,0.8232
Ophiuchus,2.2625,0.8308
Ophiuchus,2.2644,0.8359
Ophiuchus,2.2663,0.8434
Ophiuchus,2.2682,0.8409
Ophiuchus,2.27,0.8485
Ophiuchus,2.2719,0.8434
Ophiuchus,2.2738,0.8586
Ophiuchus,2.2757,0.8485
Ophiuchus,2.2776,0.8535
Ophiuchus,2.2794,0.8636
Ophiuchus,2.2813,0.8636
Ophiuchus,2.2832,0.8687
Ophiuchus,2.2851,0.8737
Ophiuchus,2.287,0.8687
Ophiuchus,2.2888,0.8687
Ophiuchus,2.2907,0.8788
Ophiuchus,2.2926,0.8838
Ophiuchus,2.2945,0.8737
Ophiuchus,2.2964,0.8889
Ophiuchus,2.2982,0.8788
Ophiuchus,2.3001,0.8838
Ophiuchus,2.302,0.8939
Ophiuchus,2.3039,0.8939
Ophiuchus,2.3058,0.8939
Ophiuchus,2.3076,0.8965
Ophiuchus,2.3095,0.899
Ophiuchus,2.3114,0.9015
Ophiuchus,2.3133,0.9091
Ophiuchus,2.3152,0.9141
Ophiuchus,2.317,0.9116
Ophiuchus,2.3189,0.9167
Ophiuchus,2.3208,0.9192
Ophiuchus,2.3227,0.9242
Ophiuchus,2.3246,0.9268
Ophiuchus,2.3264,0.9318
Ophiuchus,2.3283,0.9394
Ophiuchus,2.3302,0.9419
Ophiuchus,2.334,0.9495
Ophiuchus,2.3358,0.952
Ophiuchus,2.3377,0.9571
Ophiuchus,2.3396,0.9621
Ophiuchus,2.3415,0.9646
Ophiuchus,2.3434,0.9646
Ophiuchus,2.3452,0.9722
Ophiuchus,2.3471,0.9773
Ophiuchus,2.349,0.9848
Ophiuchus,2.3509,0.9798
Ophiuchus,2.3528,0.9848
Ophiuchus,2.3546,0.9924
Ophiuchus,2.3565,1.0
Ophiuchus,2.3584,1.0051
Ophiuchus,2.3603,1.0025
Ophiuchus,2.3622,1.0051
Ophiuchus,2.364,1.0051
Ophiuchus,2.3659,1.0126
Ophiuchus,2.3678,1.0101
Ophiuchus,2.3697,1.0177
Ophiuchus,2.3716,1.0227
Ophiuchus,2.3734,1.0303
Ophiuchus,2.3753,1.0303
Ophiuchus,2.3772,1.0328
Ophiuchus,2.3791,1.0303
Ophiuchus,2.381,1.0354
Ophiuchus,2.3828,1.0455
Ophiuchus,2.3847,1.048
Ophiuchus,2.3885,1.0556
Ophiuchus,2.3904,1.0606
Ophiuchus,2.3922,1.0631
Ophiuchus,2.3941,1.0682
Ophiuchus,2.396,1.0758
Ophiuchus,2.3979,1.0783
Ophiuchus,2.3998,1.0859
Ophiuchus,2.4016,1.0808
Ophiuchus,2.4035,1.0884
Ophiuchus,2.4054,1.0934
Ophiuchus,2.4073,1.101
Ophiuchus,2.4092,1.101
